featIdx,bin,partition,sumLeft,sumRight,weightLeft,weightRight,mlx_skipped,mlx_termNum,mlx_termDen,cpu_termNum,cpu_termDen,term_num_diff,term_den_diff
0,0,0,9.922470093,182.7849426,7,570,0,68.1532816775815,64.8943431675556,68.1532816775815,64.8943431675556,1.421085e-14,-1.421085e-14
0,0,1,-1.525878906e-05,-192.5617828,0,423,1,0,0,87.0423479092273,86.4293736281764,8.704235e+01,8.642937e+01
0,1,0,18.64810181,174.0593109,15,562,0,72.9419172015251,69.4372734516844,72.9419172015251,69.4372734516844,0.000000e+00,0.000000e+00
0,1,1,-1.525878906e-05,-192.5617828,0,423,1,0,0,87.0423479092273,86.4293736281764,8.704235e+01,8.642937e+01
0,2,0,26.76754761,165.9398651,23,554,0,76.9940894633838,73.5480846880598,76.9940894633838,73.5480846880598,0.000000e+00,0.000000e+00
0,2,1,-1.525878906e-05,-192.5617828,0,423,1,0,0,87.0423479092273,86.4293736281764,8.704235e+01,8.642937e+01
0,3,0,35.01951599,157.6878967,31,546,0,81.3619030847829,77.9317921520431,81.3619030847829,77.9317921520431,-1.421085e-14,1.421085e-14
0,3,1,-1.525878906e-05,-192.5617828,0,423,1,0,0,87.0423479092273,86.4293736281764,8.704235e+01,8.642937e+01
0,4,0,42.49755859,150.2098541,38,539,0,85.6789685439235,82.225391561906,85.6789685439235,82.225391561906,0.000000e+00,0.000000e+00
0,4,1,-1.525878906e-05,-192.5617828,0,423,1,0,0,87.0423479092273,86.4293736281764,8.704235e+01,8.642937e+01
0,5,0,49.11523438,143.5921783,46,531,0,87.8425631233347,84.6115158438794,87.8425631233347,84.6115158438794,0.000000e+00,0.000000e+00
0,5,1,-1.525878906e-05,-192.5617828,0,423,1,0,0,87.0423479092273,86.4293736281764,8.704235e+01,8.642937e+01
0,6,0,55.37579346,137.3316193,54,523,0,89.6533316501459,86.6173660506137,89.6533316501459,86.6173660506137,1.421085e-14,0.000000e+00
0,6,1,-1.525878906e-05,-192.5617828,0,423,1,0,0,87.0423479092273,86.4293736281764,8.704235e+01,8.642937e+01
