featIdx,bin,partition,sumLeft,sumRight,weightLeft,weightRight,mlx_skipped,mlx_termNum,mlx_termDen,cpu_termNum,cpu_termDen,term_num_diff,term_den_diff
0,0,0,10.07996082,-10.07996845,7,993,0,10.2625748387202,7.21409926234799,10.2625748387202,7.21409926234799,0.000000e+00,0.000000e+00
0,1,0,18.94471359,-18.94472122,15,985,0,20.3022712182245,16.9779999276957,20.3022712182245,16.9779999276957,0.000000e+00,0.000000e+00
0,2,0,27.22377777,-27.2237854,23,977,0,29.2614164592535,25.9700448277357,29.2614164592535,25.9700448277357,0.000000e+00,0.000000e+00
0,3,0,35.63748932,-35.63749695,31,969,0,38.6604589478751,35.3604989017717,38.6604589478751,35.3604989017717,0.000000e+00,0.000000e+00
0,4,0,43.28028488,-43.28029251,38,962,0,47.6285147191945,44.2795002598308,47.6285147191945,44.2795002598308,0.000000e+00,-7.105427e-15
0,5,0,50.05332565,-50.05333328,46,954,0,53.747200196413,50.608628651664,53.747200196413,50.608628651664,0.000000e+00,0.000000e+00
0,6,0,56.46620178,-56.46620941,54,946,0,59.297184191761,56.3424893579812,59.297184191761,56.3424893579812,0.000000e+00,0.000000e+00
0,7,0,62.49794769,-62.49795532,62,938,0,64.2431045304108,61.4563845791817,64.2431045304108,61.4563845791817,0.000000e+00,0.000000e+00
0,8,0,68.34572601,-68.34573364,69,931,0,69.8781401519991,67.1588712627459,69.8781401519991,67.1588712627459,0.000000e+00,0.000000e+00
0,9,0,72.84822083,-72.84822845,77,923,0,72.06674603114,69.5605870607989,72.06674603114,69.5605870607989,0.000000e+00,0.000000e+00
0,10,0,79.48697662,-79.48698425,85,915,0,78.6800435259449,76.2099096998633,78.6800435259449,76.2099096998633,0.000000e+00,0.000000e+00
0,11,0,85.23737335,-85.23738098,93,907,0,83.6653205095247,81.2739574772428,83.6653205095247,81.2739574772428,0.000000e+00,-1.421085e-14
0,12,0,89.91686249,-89.91687012,101,899,0,86.7042528920444,84.4319181428308,86.7042528920444,84.4319181428308,0.000000e+00,0.000000e+00
0,13,0,95.53230286,-95.53231049,109,891,0,91.6944269100865,89.4775120540304,91.6944269100865,89.4775120540304,0.000000e+00,0.000000e+00
0,14,0,101.0436783,-101.0436859,117,883,0,96.6053805082884,94.439315005824,96.6053805082884,94.439315005824,0.000000e+00,0.000000e+00
0,15,0,105.268158,-105.2681656,125,875,0,99.1944902847383,97.1223033508324,99.1944902847383,97.1223033508324,0.000000e+00,0.000000e+00
0,16,0,109.395195,-109.3952026,132,868,0,102.386467391094,100.369216028808,102.386467391094,100.369216028808,0.000000e+00,0.000000e+00
0,17,0,114.1627731,-114.1627808,140,860,0,106.242963244026,104.278419124643,106.242963244026,104.278419124643,0.000000e+00,1.421085e-14
0,18,0,116.8367157,-116.8367233,148,852,0,106.368640356017,104.516538249707,106.368640356017,104.516538249707,0.000000e+00,0.000000e+00
0,19,0,121.1552429,-121.1552505,156,844,0,109.64829429988,107.845059877768,109.64829429988,107.845059877768,0.000000e+00,0.000000e+00
0,20,0,124.4398651,-124.4398727,163,837,0,111.719678890883,109.9679698761,111.719678890883,109.9679698761,-1.421085e-14,0.000000e+00
0,21,0,128.8257751,-128.8257751,171,829,0,115.326984030622,113.610580158552,115.326984030622,113.610580158552,0.000000e+00,1.421085e-14
0,22,0,133.1842957,-133.1842957,179,821,0,118.988617228907,117.303729071812,118.988617228907,117.303729071812,0.000000e+00,0.000000e+00
0,23,0,136.67836,-136.67836,187,813,0,121.214266852522,119.577664602579,121.214266852522,119.577664602579,0.000000e+00,0.000000e+00
0,24,0,139.109848,-139.109848,194,806,0,122.151550863278,120.566940662024,122.151550863278,120.566940662024,-1.421085e-14,0.000000e+00
0,25,0,144.1114655,-144.1114655,202,798,0,127.235608916785,125.655947025497,127.235608916785,125.655947025497,0.000000e+00,0.000000e+00
0,26,0,147.2983551,-147.2983551,210,790,0,129.223346585494,127.6851501158,129.223346585494,127.6851501158,0.000000e+00,0.000000e+00
0,27,0,149.9414215,-149.9414215,218,782,0,130.370490033033,128.880081296744,130.370490033033,128.880081296744,0.000000e+00,0.000000e+00
0,28,0,154.0073242,-154.0073242,226,774,0,134.09859581133,132.62388326964,134.09859581133,132.62388326964,0.000000e+00,0.000000e+00
0,29,0,157.7458038,-157.7458038,234,766,0,137.353245536059,135.897962697004,137.353245536059,135.897962697004,0.000000e+00,0.000000e+00
0,30,0,161.7336578,-161.7336578,242,758,0,141.139331887537,139.696483609639,141.139331887537,139.696483609639,-2.842171e-14,0.000000e+00
0,31,0,165.5306091,-165.5306091,250,750,0,144.690197600054,143.261011992017,144.690197600054,143.261011992017,0.000000e+00,0.000000e+00
0,32,0,167.3065338,-167.3065338,257,743,0,145.181610199114,143.788491813669,145.181610199114,143.788491813669,0.000000e+00,0.000000e+00
0,33,0,169.1658478,-169.1658478,265,735,0,145.556701041971,144.203772496602,145.556701041971,144.203772496602,0.000000e+00,0.000000e+00
0,34,0,170.8504333,-170.8504333,273,727,0,145.746524713142,144.432628603703,145.746524713142,144.432628603703,0.000000e+00,0.000000e+00
0,35,0,173.4315948,-173.4315948,281,719,0,147.570272327898,146.278399335549,147.570272327898,146.278399335549,0.000000e+00,0.000000e+00
0,36,0,176.0206299,-176.0206299,288,712,0,149.804924985981,148.525460920705,149.804924985981,148.525460920705,0.000000e+00,0.000000e+00
0,37,0,176.4523468,-176.4523468,296,704,0,148.170673939056,146.939003496814,148.170673939056,146.939003496814,0.000000e+00,0.000000e+00
0,38,0,178.4167328,-178.4167328,304,696,0,149.229125470113,148.020426596263,149.229125470113,148.020426596263,0.000000e+00,0.000000e+00
0,39,0,179.3943481,-179.3943481,312,688,0,148.739696961287,147.564485454834,148.739696961287,147.564485454834,0.000000e+00,-2.842171e-14
0,40,0,181.089035,-181.089035,319,681,0,149.785687231067,148.626567636765,149.785687231067,148.626567636765,0.000000e+00,0.000000e+00
0,41,0,183.3742371,-183.3742371,327,673,0,151.640072989254,150.492981921582,151.640072989254,150.492981921582,0.000000e+00,0.000000e+00
0,42,0,185.247345,-185.247345,335,665,0,152.900463680362,151.768611438949,152.900463680362,151.768611438949,0.000000e+00,0.000000e+00
0,43,0,187.9201508,-187.9201508,343,657,0,155.569569796964,154.441416603391,155.569569796964,154.441416603391,0.000000e+00,0.000000e+00
0,44,0,188.4740295,-188.4740295,351,649,0,154.828231994975,153.727157312589,154.828231994975,153.727157312589,0.000000e+00,0.000000e+00
0,45,0,189.8393097,-189.8393097,359,641,0,155.516271256594,154.430540131952,155.516271256594,154.430540131952,0.000000e+00,0.000000e+00
0,46,0,190.3565216,-190.3565216,367,633,0,154.908290625589,153.84548428019,154.908290625589,153.84548428019,0.000000e+00,0.000000e+00
0,47,0,192.1472168,-192.1472168,375,625,0,156.464109798141,155.408076679506,156.464109798141,155.408076679506,0.000000e+00,0.000000e+00
0,48,0,193.0783691,-193.0783691,382,618,0,156.860247066037,155.815728648465,156.860247066037,155.815728648465,0.000000e+00,0.000000e+00
0,49,0,195.2247162,-195.2247162,390,610,0,159.152899845872,158.10832570014,159.152899845872,158.10832570014,0.000000e+00,0.000000e+00
0,50,0,196.0257111,-196.0257111,398,602,0,159.339815225525,158.307968866332,159.339815225525,158.307968866332,2.842171e-14,0.000000e+00
0,51,0,196.3540649,-196.3540649,406,594,0,158.8474087304,157.831440680558,158.8474087304,157.831440680558,0.000000e+00,0.000000e+00
0,52,0,196.6626434,-196.6626434,413,587,0,158.52449679692,157.520708663765,158.52449679692,157.520708663765,0.000000e+00,0.000000e+00
0,53,0,198.1341095,-198.1341095,421,579,0,160.039665184603,159.036873260813,160.039665184603,159.036873260813,0.000000e+00,-2.842171e-14
0,54,0,197.098175,-197.098175,429,571,0,157.604113237289,156.625910121948,157.604113237289,156.625910121948,0.000000e+00,0.000000e+00
0,55,0,198.0868225,-198.0868225,437,563,0,158.503933454575,157.528449453396,158.503933454576,157.528449453396,2.842171e-14,-2.842171e-14
0,56,0,197.9053955,-197.9053955,444,556,0,157.686284010399,156.72220253014,157.686284010399,156.72220253014,0.000000e+00,0.000000e+00
0,57,0,197.4472046,-197.4472046,452,548,0,156.436094182189,155.485926691952,156.436094182189,155.485926691952,0.000000e+00,2.842171e-14
0,58,0,197.3111267,-197.3111267,460,540,0,155.783089736278,154.842139808133,155.783089736278,154.842139808133,2.842171e-14,0.000000e+00
0,59,0,197.7009583,-197.7009583,468,532,0,156.041760053586,155.103529530026,156.041760053586,155.103529530026,0.000000e+00,0.000000e+00
0,60,0,199.1364136,-199.1364136,476,524,0,158.034975928145,157.088119969994,158.034975928145,157.088119969994,0.000000e+00,2.842171e-14
0,61,0,199.8850555,-199.8850555,484,516,0,159.023867734901,158.073493969803,159.023867734901,158.073493969803,-2.842171e-14,0.000000e+00
0,62,0,199.571701,-199.571701,492,508,0,158.405333345479,157.460091838917,158.405333345479,157.460091838917,-2.842171e-14,2.842171e-14
0,63,0,200.0962067,-200.0962067,500,500,0,159.198775036732,158.249279360568,159.198775036732,158.249279360568,0.000000e+00,0.000000e+00
0,64,0,201.6703644,-201.6703644,507,493,0,161.744787651524,160.779733279616,161.744787651524,160.779733279616,-2.842171e-14,-2.842171e-14
0,65,0,202.1631927,-202.1631927,515,485,0,162.649440793301,161.677637699357,162.6494407933,161.677637699357,-2.842171e-14,0.000000e+00
0,66,0,201.8783875,-201.8783875,523,477,0,162.386773684271,161.414205627158,162.386773684271,161.414205627158,0.000000e+00,0.000000e+00
0,67,0,202.2772827,-202.2772827,531,469,0,163.308559072541,162.3271244384,163.308559072541,162.3271244384,0.000000e+00,0.000000e+00
0,68,0,201.5891113,-201.5891113,538,462,0,162.510678452486,161.530302769329,162.510678452486,161.530302769329,0.000000e+00,-2.842171e-14
0,69,0,201.9129181,-201.9129181,546,454,0,163.469843522546,162.478428740948,163.469843522546,162.478428740948,0.000000e+00,0.000000e+00
0,70,0,201.181488,-201.181488,554,446,0,162.806776181655,161.813118207448,162.806776181655,161.813118207448,-2.842171e-14,0.000000e+00
0,71,0,200.4142761,-200.4142761,562,438,0,162.169154441308,161.172099414878,162.169154441308,161.172099414878,0.000000e+00,2.842171e-14
0,72,0,200.0650177,-200.0650177,569,431,0,162.201376749153,161.19686639183,162.201376749153,161.19686639183,0.000000e+00,0.000000e+00
0,73,0,198.1051941,-198.1051941,577,423,0,159.790925747553,158.792160139858,159.790925747553,158.792160139858,2.842171e-14,-2.842171e-14
0,74,0,198.0725708,-198.0725708,585,415,0,160.580590125689,159.566546244974,160.580590125689,159.566546244974,-2.842171e-14,0.000000e+00
0,75,0,196.518158,-196.518158,593,407,0,158.99125358503,157.975869377819,158.99125358503,157.975869377819,0.000000e+00,0.000000e+00
0,76,0,195.8187256,-195.8187256,601,399,0,158.870560812829,157.843405559326,158.870560812829,157.843405559326,0.000000e+00,0.000000e+00
0,77,0,195.2394562,-195.2394562,609,391,0,159.032364220187,157.990390647117,159.032364220187,157.990390647117,0.000000e+00,0.000000e+00
0,78,0,195.4016571,-195.4016571,617,383,0,160.500160641721,159.433393805595,160.500160641721,159.433393805595,0.000000e+00,0.000000e+00
0,79,0,193.6844177,-193.6844177,625,375,0,158.977587332495,157.904589840863,158.977587332495,157.904589840863,0.000000e+00,0.000000e+00
0,80,0,192.0333557,-192.0333557,632,368,0,157.472124985002,156.394000253094,157.472124985002,156.394000253094,0.000000e+00,0.000000e+00
0,81,0,191.0623474,-191.0623474,640,360,0,157.336904413357,156.24091473889,157.336904413357,156.24091473889,0.000000e+00,-2.842171e-14
0,82,0,189.5589447,-189.5589447,648,352,0,156.414569471417,155.304841817038,156.414569471417,155.304841817038,0.000000e+00,0.000000e+00
0,83,0,188.2420197,-188.2420197,656,344,0,155.889275563534,154.761623913047,155.889275563534,154.761623913047,0.000000e+00,0.000000e+00
0,84,0,186.9515839,-186.9515839,663,337,0,155.275570026833,154.132148802274,155.275570026833,154.132148802274,-2.842171e-14,0.000000e+00
0,85,0,184.7735596,-184.7735596,671,329,0,153.489846296975,152.335147027077,153.489846296975,152.335147027077,0.000000e+00,0.000000e+00
0,86,0,182.7844696,-182.7844696,679,321,0,152.106292777991,150.936006502909,152.106292777991,150.936006502909,2.842171e-14,0.000000e+00
0,87,0,180.9490967,-180.9490967,687,313,0,151.068753635709,149.878742422458,151.068753635709,149.878742422458,0.000000e+00,2.842171e-14
0,88,0,179.5678101,-179.5678101,694,306,0,150.613428794206,149.401188923631,150.613428794206,149.401188923631,0.000000e+00,0.000000e+00
0,89,0,178.6659241,-178.6659241,702,298,0,151.330277322137,150.080609772312,151.330277322137,150.080609772312,0.000000e+00,0.000000e+00
