feat,bin,partition,cosNumL,cosDenL,cosNumR,cosDenR,cosNumTotal,cosDenTotal,gain_mlx,picked_by_mlx
0,0,0,10.1605610194406,7.11239271360841,0.102013819279578,0.10170654873958,10.2625748387202,7.21409926234799,3.82089655813441,0
0,1,0,19.9390096168313,16.6158413473595,0.363261601393129,0.362158580336267,20.3022712182245,16.9779999276957,4.92721327902522,0
0,2,0,28.5051567740223,25.2161002231736,0.756259685231145,0.75394460456207,29.2614164592535,25.9700448277357,5.74194456828748,0
0,3,0,37.3538424985583,34.0579152192737,1.30661644931684,1.30258368249796,38.6604589478751,35.3604989017717,6.50141386965696,0
0,4,0,45.6873916934572,42.3444118134481,1.94112302573735,1.93508844638272,47.6285147191945,44.2795002598308,7.15757130107415,0
0,5,0,51.129294059855,47.9989291174149,2.61790613655809,2.60969953424913,53.747200196413,50.608628651664,7.55515817557797,0
0,6,0,55.9374025212478,52.99332870434,3.35978167051322,3.34916065364121,59.297184191761,56.3424893579812,7.89979924988122,0
0,7,0,60.0922071664746,57.3187206818681,4.15089736393614,4.1376638973136,64.2431045304108,61.4563845791817,8.19488788206788,0
0,8,0,64.8769203370717,62.173715323027,5.00121981492745,4.9851559397189,69.8781401519991,67.1588712627459,8.5268700288726,0
0,9,0,66.3357909674553,63.8481988061757,5.73095506368479,5.71238825462317,72.06674603114,69.5605870607989,8.64078688446552,0
0,10,0,71.7974937812548,69.3498519478029,6.88254974469008,6.86005775206037,78.6800435259449,76.2099096998633,9.01278203001527,0
0,11,0,75.681352249551,73.3163099917525,7.98396825997369,7.95764748549026,83.6653205095247,81.2739574772428,9.28046581670577,0
0,12,0,77.7407899966218,75.4982672082577,8.96346289542258,8.93365093457306,86.7042528920444,84.4319181428308,9.4359813207336,0
0,13,0,81.4859007951392,79.3032427381265,10.2085261149473,10.1742693159039,91.6944269100865,89.4775120540304,9.69361999175602,0
0,14,0,85.0818743424844,82.9548274839223,11.523506165804,11.4844875219017,96.6053805082884,94.439315005824,9.94088160136534,0
0,15,0,86.5733209381069,84.54425872862,12.6211693466314,12.5780446222124,99.1944902847383,97.1223033508324,10.0653310471662,0
0,16,0,88.6467310421518,86.6768036856596,13.7397363489423,13.692412343148,102.386467391094,100.369216028808,10.2197975562858,0
0,17,0,91.1408305542834,89.2287851580397,15.1021326897431,15.0496339666037,106.242963244026,104.278419124643,10.4040625824637,0
0,18,0,90.402769106966,88.6066876015296,15.9658712490511,15.9098506481773,106.368640356017,104.516538249707,10.4044972456739,0
0,19,0,92.3181942577691,90.5763415359244,17.3301000421105,17.2687183418433,109.64829429988,107.845059877768,10.558488522924,0
0,20,0,93.2848194528228,91.5989492217477,18.4348594380599,18.3690206543525,111.719678890883,109.9679698761,10.653604617408,0
0,21,0,95.3797720809917,93.7352932520091,19.9472119496305,19.8752869065429,115.326984030622,113.610580158552,10.8198576218972,0
0,22,0,97.4618494996218,95.8553354968808,21.5267677292854,21.4483935749312,118.988617228907,117.303729071812,10.986250780873,0
0,23,0,98.3209162541334,96.7684807343313,22.8933505983889,22.8091838682478,121.214266852522,119.577664602579,11.0848215364059,0
0,24,0,98.2312173443258,96.7353104812142,23.920333518952,23.83163018081,122.151550863278,120.566940662024,11.1246117946628,0
0,25,0,101.307875489408,99.8253212139536,25.9277334273767,25.8306258115438,127.235608916785,125.655947025497,11.3505563411181,0
0,26,0,101.862936224947,100.428246982342,27.3604103605469,27.2569031334578,129.223346585494,127.6851501158,11.4359115678817,0
0,27,0,101.730451964146,100.349495602642,28.6400380688871,28.5305856941015,130.370490033033,128.880081296744,11.4838205451176,0
0,28,0,103.573169925848,102.216316171361,30.5254258854816,30.4075670982789,134.09859581133,132.62388326964,11.6442993105325,0
0,29,0,104.994677750725,103.665631196918,32.3585677853339,32.2323315000855,137.353245536059,135.897962697004,11.7823644689966,0
0,30,0,106.766432968604,105.459088891437,34.372898918933,34.2373947182013,141.139331887537,139.696483609639,11.9414020346479,0
0,31,0,108.301907348748,107.017695008645,36.3882902513059,36.2433169833724,144.690197600054,143.261011992017,12.0885748085088,0
0,32,0,107.659524064154,106.41729878649,37.5220861349598,37.3711930271784,145.181610199114,143.788491813669,12.1073624725007,0
0,33,0,106.780164382679,105.584864035111,38.7765366592925,38.6189084614905,145.556701041971,144.203772496602,12.1211518778152,0
0,34,0,105.760400636773,104.610831064634,39.9861240763689,39.8217975390688,145.746524713142,144.432628603703,12.1273399089472,0
0,35,0,105.910274970917,104.79150446066,41.6599973569811,41.4868948748883,147.570272327898,146.278399335549,12.2013751123297,0
0,36,0,106.47169121767,105.374044916457,43.3332337683106,43.1514160042477,149.804924985981,148.525460920705,12.2920873297041,0
0,37,0,104.131875223571,103.087073799923,44.0387987154849,43.8519296968902,148.170673939056,146.939003496814,12.2234474873195,0
0,38,0,103.689024556271,102.675776759304,45.5401009138416,45.3446498369581,149.229125470113,148.020426596263,12.2657121393572,0
0,39,0,102.166133797464,101.193122999393,46.5735631638224,46.3713624554411,148.739696961287,147.564485454834,12.244356574171,0
0,40,0,101.842355930467,100.893514105028,47.9433313005999,47.7330535317377,149.785687231067,148.626567636765,12.2863276307794,0
0,41,0,101.89730550769,100.970966366711,49.7427674815646,49.5220155548712,151.640072989254,150.492981921582,12.3610641710511,0
0,42,0,101.52833970028,100.627200590514,51.3721239800819,51.1414108484348,152.900463680362,151.768611438949,12.4113156833564,0
0,43,0,102.063534856855,101.17859091301,53.506034940109,53.2628256903812,155.569569796964,154.441416603391,12.5182252674863,0
0,44,0,100.3459316707,99.4955424192529,54.4823003242755,54.2316148933356,154.828231994975,153.727157312589,12.4874814575573,0
0,45,0,99.5551478024321,98.730105141086,55.9611234541622,55.7004349908664,155.516271256594,154.430540131952,12.5143771584771,0
0,46,0,97.934068427311,97.1400084130355,56.9742221982784,56.7054758671545,154.908290625589,153.84548428019,12.4891328412174,0
0,47,0,97.6734204306489,96.8982345542152,58.7906893674925,58.5098421252911,156.464109798141,155.408076679506,12.550988761897,0
0,48,0,96.829238000009,96.0747244571518,60.0310090660281,59.741004191313,156.860247066037,155.815728648465,12.5662948980321,0
0,49,0,96.9788544786479,96.2385578795743,62.1740453672245,61.869767820566,159.152899845872,158.10832570014,12.657186700794,0
0,50,0,95.8256344050128,95.1087343969953,63.5141808205126,63.1992344693365,159.339815225525,158.307968866332,12.6640588725265,0
0,51,0,94.2663051809633,93.5748652896604,64.5811035494372,64.2565753908973,158.8474087304,157.831440680558,12.6439675977149,0
0,52,0,92.9716233699633,92.3011549321991,65.5528734269572,65.2195537315659,158.52449679692,157.520708663765,12.630703919013,0
0,53,0,92.5875597787666,91.9324591199546,67.4521054058368,67.1044141408583,160.039665184603,159.036873260813,12.6904996007951,0
0,54,0,89.925209739765,89.3007291165722,67.6789034975235,67.3251810053762,157.604113237289,156.625910121948,12.5931896553321,0
0,55,0,89.1781573909441,88.5701244996421,69.3257760636314,68.9583249537535,158.503933454575,157.528449453396,12.628755206781,0
0,56,0,87.6209073179053,87.0328475372483,70.0653766924932,69.6893549928913,157.686284010399,156.72220253014,12.5958840923425,0
0,57,0,85.6821947260299,85.1172571783858,70.753899456159,70.3686695135665,156.436094182189,155.485926691952,12.545599551362,0
0,58,0,84.0857035057643,83.5408717335888,71.6973862305136,71.3012680745439,155.783089736278,154.842139808133,12.5191755982822,0
0,59,0,82.9844350185573,82.4558717381844,73.057325035029,72.6476577918419,156.041760053586,155.103529530026,12.5293920838035,0
0,60,0,82.7877060776666,82.2692026993096,75.2472698504787,74.8189172706847,158.034975928145,157.088119969994,12.6090260965975,0
0,61,0,82.0411405113456,81.5357536088116,76.9827272235555,76.5377403609916,159.023867734901,158.073493969803,12.6483182820101,0
0,62,0,80.4623512321467,79.9747006186185,77.9429821133319,77.4853912202987,158.405333345479,157.460091838917,12.6236385083019,0
0,63,0,79.5993875183658,79.1246396802841,79.5993875183658,79.1246396802841,159.198775036732,158.249279360568,12.6551952844258,0
0,64,0,79.7469330766955,79.277833470362,81.997854574828,81.5018998092545,161.744787651524,160.779733279616,12.7560038650972,0
0,65,0,78.8995299275653,78.4425828430427,83.7499108657353,83.2350548563147,162.649440793301,161.677637699357,12.7916803097983,0
0,66,0,77.4807667678431,77.0388612539581,84.9060069164281,84.3753443732004,162.386773684271,161.414205627158,12.7814397369756,0
0,67,0,76.6219084316495,76.1914482719211,86.6866506408916,86.1356761664791,163.308559072541,162.3271244384,12.8177972947672,0
0,68,0,75.1167648910595,74.7002209082994,87.3939135614262,86.8300818610299,162.510678452486,161.530302769329,12.7865947119889,0
0,69,0,74.2601575445361,73.8543643339102,89.2096859780094,88.6240644070378,163.469843522546,162.478428740948,12.8244807981721,1
0,70,0,72.6642569637802,72.2728875366862,90.1425192178744,89.5402306707616,162.806776181655,161.813118207448,12.7986927452006,0
0,71,0,71.0900567680086,70.7125874400369,91.079097673299,90.4595119748412,162.169154441308,161.172099414878,12.7738943758324,0
0,72,0,69.9755442436704,69.6085396409938,92.2258325054826,91.5883267508364,162.201376749153,161.19686639183,12.7754509426506,0
0,73,0,67.6649447002561,67.3149536069789,92.125981047297,91.4772065328794,159.790925747553,158.792160139858,12.680535215743,0
0,74,0,66.7223525571947,66.3819323910866,93.858237568494,93.1846138538876,160.580590125689,159.566546244974,12.7122412754636,0
0,75,0,64.7976282006583,64.4714656426013,94.1936253843715,93.5044037352176,158.99125358503,157.975869377819,12.6496309882004,0
0,76,0,63.4850551160607,63.1697319946234,95.3855056967679,94.6736735647025,158.870560812829,157.843405559326,12.6453311625066,0
0,77,0,62.2850412552224,61.97972242554,96.7473229649648,96.0106682215768,159.032364220187,157.990390647117,12.6523203321245,0
0,78,0,61.5835606438412,61.2855756729839,98.9165999978796,98.1478181326111,160.500160641721,159.433393805595,12.7111787494848,0
0,79,0,59.735117307836,59.4497584671934,99.2424700246587,98.4548313736693,158.977587332495,157.904589840863,12.6513981869743,0
0,80,0,58.0737160729978,57.7993520600545,99.3984089120043,98.5946481930393,157.472124985002,156.394000253094,12.591968945569,0
0,81,0,56.7726603400087,56.5077801206929,100.564244073349,99.7331346181971,157.336904413357,156.24091473889,12.5873183074235,0
0,82,0,55.1959961852414,54.9416367558163,101.218573286175,100.363205061222,156.414569471417,155.304841817038,12.5511842733126,0
0,83,0,53.7709529031275,53.526168595526,102.118322660406,101.235455317521,155.889275563534,154.761623913047,12.5309673892281,0
0,84,0,52.4788208838203,52.2424297987581,102.796749143013,101.889719003516,155.275570026833,154.132148802274,12.5070969318023,0
0,85,0,50.6547007659997,50.4292347388514,102.835145530975,101.905912288226,153.489846296975,152.335147027077,12.4359679228705,0
0,86,0,48.9885078131899,48.7730158433372,103.117784964801,102.162990659571,152.106292777991,150.936006502909,12.3808583263974,0
0,87,0,47.4530081002825,47.2466906737595,103.615745535427,102.632051748698,151.068753635709,149.878742422458,12.3397006986209,0
0,88,0,46.2619776316201,46.0628586461181,104.351451162586,103.338330277513,150.613428794206,149.401188923631,12.3221550374894,0
0,89,0,45.2787410277966,45.0860655340613,106.051536294341,104.994544238251,151.330277322137,150.080609772312,12.3527466745907,0
0,90,0,43.1569223047442,42.9753363763932,105.020087383217,103.944796386119,148.177009687961,146.920132762513,12.2247551706878,0
0,91,0,41.5344528761355,41.3616326838631,105.074879030504,103.968827672288,146.60933190664,145.330460356152,12.1613920751522,0
0,92,0,39.3212739959623,39.1594580535921,103.484508097677,102.363737251854,142.805782093639,141.523195305446,12.0041656362338,0
0,93,0,37.9164390257096,37.7620980256049,103.882585732149,102.724043883835,141.799024757858,140.48614190944,11.9634517121492,0
0,94,0,36.1513535574991,36.0057776371333,103.190645212019,102.004545841765,139.341998769518,138.010323478899,11.8611350016349,0
0,95,0,34.0228132738984,33.8872642170302,101.261574684765,100.060844550163,135.284387958663,133.948108767193,11.6890546238618,0
0,96,0,32.761508143469,32.6321864007974,101.214415402587,99.9800932635311,133.975923546056,132.612279664328,11.6341561659452,0
0,97,0,31.125727839449,31.0041429650761,100.439323448306,99.1732815561005,131.565051287755,130.177424521177,11.5311521309576,0
0,98,0,29.406240621362,29.2925567014341,99.2140987920737,97.9200018513075,128.620339413436,127.212558552742,11.4036704307779,0
0,99,0,27.6478244159418,27.5420291694522,97.6391637031459,96.3197155449953,125.286988119088,123.861744714447,11.2573811968816,0
0,100,0,26.6654291081418,26.564296001537,98.1039740676288,96.73508140622,124.769403175771,123.299377407757,11.2364120249371,0
0,101,0,25.4937907761541,25.3980694090346,98.4035692277639,96.9774305433035,123.897360003918,122.375499952338,11.1999172267648,0
0,102,0,24.1217088662515,24.0320370860796,97.8201962566078,96.3455199311313,121.941905122859,120.377557017211,11.1142513231763,0
0,103,0,22.523733508532,22.4408240600344,96.1091246568252,94.5995572538384,118.632858165357,117.040381313873,10.9657194293306,0
0,104,0,21.4236359232858,21.3454474710111,95.7077648312008,94.1473121437355,117.131400754487,115.492759614747,10.8992335216046,0
0,105,0,19.9149058096854,19.8429242224215,93.9168853524937,92.3160293521671,113.831791162179,112.158953574589,10.7484686781624,0
0,106,0,18.6403842628751,18.5736525769698,92.9800233295952,91.3196657701382,111.62040759247,109.893318347108,10.6477528081947,0
0,107,0,16.9483766838554,16.8882760573169,89.6145531354447,87.9342802641551,106.5629298193,104.822556321472,10.4082754966713,0
0,108,0,15.6202804752254,15.5654082955701,87.7613242644584,86.029192864502,103.381604739684,101.594601160072,10.2567071184046,0
0,109,0,14.548762620122,14.4981288755044,87.0905214397745,85.2761355764459,101.639284059897,99.7742644519503,10.17541966429,0
0,110,0,13.1826921768637,13.1372346176331,84.3304693234061,82.4702383824486,97.5131615002698,95.6074730000817,9.97280477036846,0
0,111,0,12.1024424707706,12.061090161645,83.0152036113013,81.0695347766615,95.117646082072,93.1306249383065,9.85632091670286,0
0,112,0,11.1533329034574,11.1155249953101,81.5760424424945,79.5534959356558,92.7293753459519,90.6690209309659,9.73840587896217,0
0,113,0,9.9357370290194,9.90235829319962,78.5187133115853,76.4341457015432,88.4544503406047,86.3365039947429,9.51968238206785,0
0,114,0,8.77751937211827,8.74829344746083,75.3194886785023,73.1675032876879,84.0970080506206,81.9157967351488,9.29173285931104,0
0,115,0,7.5902933192965,7.56524284629552,71.1296690174423,68.9297823467997,78.7199623367388,76.4950251930953,9.00053409997274,0
0,116,0,6.84803520480948,6.82560714191163,69.6977939568563,67.3745341582945,76.5458291616658,74.2001413002061,8.88626306246791,0
0,117,0,5.99869367690758,5.9792173987358,67.5950499204699,65.1220602892332,73.5937435973775,71.101277687969,8.7277478922989,0
0,118,0,4.95542234926273,4.93947141895394,62.4115495471366,59.8813515925229,67.3669718963993,64.8208230114769,8.36738507523087,0
0,119,0,4.2531869115833,4.23961291080165,60.5757069954107,57.8222657683466,64.828893906994,62.0618786791482,8.22917224883196,0
0,120,0,3.65066638656868,3.63910144553414,58.5963044959965,55.6168313860306,62.2469708825652,59.2559328315647,8.08634567443525,0
0,121,0,2.7660636268422,2.7573744217317,51.7959127035551,48.7490943092283,54.5619763303973,51.5064687309601,7.60254859738888,0
0,122,0,2.17063442713738,2.16387232611826,48.6121314178051,45.2205873654001,50.7827658449425,47.3844596915184,7.37731596318668,0
0,123,0,1.4421491043854,1.43769344288885,40.0093528959006,36.5799797905377,41.451502000286,38.0176732334266,6.72275841686659,0
0,124,0,0.794238959363961,0.791805132113612,28.7985321001879,25.5986952001671,29.5927710595519,26.3905003322807,5.76052177068436,0
0,125,0,0.354530805669569,0.353453204436531,18.4169574015725,15.5090167592189,18.7714882072421,15.8624699636555,4.7131721042154,0
0,126,0,0.120281136248406,0.1199184795562,10.8799906814251,7.91272049558191,11.0002718176735,8.03263897513811,3.88127390764081,0
1,0,0,2.35010748462892,1.64507523924024,0.0235955309415295,0.0235244600651996,2.37370301557045,1.66859969930544,1.83759711787624,0
1,1,0,5.16167115663246,4.30139263052705,0.0940386922051824,0.0937531496175149,5.25570984883765,4.39514578014457,2.50694461250564,0
1,2,0,7.26041016874604,6.42267053389073,0.19262334085083,0.192033677562511,7.45303350959687,6.61470421145324,2.89786306473757,0
1,3,0,11.1122864975995,10.1317906301643,0.388701684682797,0.387501988125134,11.5009881822823,10.5192926182894,3.54602578376536,0
1,4,0,14.6507703110466,13.5787627273115,0.622468348940593,0.620533214177047,15.2732386599872,14.1992959414885,4.05319718807559,0
1,5,0,15.722205046641,14.7596210641936,0.805003626756907,0.802480104415976,16.5272086733979,15.5621011686096,4.18953085632983,0
1,6,0,17.561304099887,16.637024936735,1.05478905843912,1.05145463570433,18.6160931583261,17.6884795724394,4.42632492696501,0
1,7,0,16.897168356501,16.1172990477394,1.16718007317945,1.16345898899291,18.0643484296805,17.2807580367323,4.34551153214017,0
1,8,0,18.657524048147,17.8801272128076,1.43826797722279,1.43364827279916,20.0957920253698,19.3137754856067,4.57268766553212,0
1,9,0,19.7180645642402,18.9786371430812,1.70350515245526,1.69798623727452,21.4215697166955,20.6766233803557,4.71098241368679,0
1,10,0,22.3259435808451,21.5648318678618,2.14017833491979,2.13318428807365,24.4661219157649,23.6980161559354,5.0258455709404,0
1,11,0,23.9361501587714,23.1881454663098,2.52513312822974,2.51680851352129,26.4612832870011,25.7049539798311,5.21918254495733,0
1,12,0,24.7281354311943,24.0148238322176,2.8511384242249,2.84165570219311,27.5792738554192,26.8564795344107,5.32179677350002,0
1,13,0,26.6060813945535,25.8934185000565,3.33320128539286,3.32201604618013,29.9392826799464,29.2154345462367,5.53904910943575,0
1,14,0,31.08131495383,30.3042820799842,4.20965996200959,4.19540603437299,35.2909749158396,34.4996881143572,6.0083617331381,0
1,15,0,31.3392505195453,30.6047368354935,4.56882122201541,4.55321021556206,35.9080717415607,35.1579470510555,6.0559228016934,0
1,16,0,32.6779325135949,31.951756235515,5.06489311459606,5.04744801776048,37.742825628191,36.9992042532755,6.20494903556618,0
1,17,0,32.2862993470325,31.6089643956961,5.34987467373237,5.33127719514466,37.6361740207648,36.9402415908408,6.19235152494152,0
1,18,0,34.2325816174972,33.5524641019178,6.04575546350533,6.0245422864404,40.2783370810025,39.5770063883582,6.40250699466457,0
1,19,0,36.6291467173778,35.9380307415783,6.8760749616802,6.8517205049092,43.505221679058,42.7897512464875,6.65076350568222,0
1,20,0,37.8735220767796,37.1890608344282,7.48453080312445,7.45780033597043,45.3580528799041,44.6468611703986,6.7882673305519,0
1,21,0,37.2554110946541,36.6130764206083,7.7913975468871,7.76330356534784,45.0468086415411,44.3763799859561,6.76220126784255,0
1,22,0,36.8268405554952,36.2198047221629,8.13408523096784,8.10447084299102,44.9609257864631,44.3242755651539,6.75327479905313,0
1,23,0,39.6731254806644,39.0467077099171,9.23761662513518,9.20365479930748,48.9107421057996,48.2503625092245,7.04131805854187,0
1,24,0,40.8695829115385,40.2472034763374,9.95217453983961,9.91526907183032,50.8217574513781,50.1624725481677,7.17563288705939,0
1,25,0,40.0199574853433,39.4342995709236,10.2423129420502,10.2039522194208,50.2622704273935,49.6382517903444,7.13401246186568,0
1,26,0,41.6684245302983,41.0815453115617,11.1921511506582,11.1498100996469,52.8605756809565,52.2313554112086,7.31419004650268,0
1,27,0,41.2259302340236,40.666302221797,11.6062828511961,11.5619276301087,52.8322130852196,52.2282298519057,7.31048431812007,0
1,28,0,41.0512852386989,40.5134954757465,12.0987719422332,12.0520585370508,53.150057180932,52.5655540127973,7.33082940310963,0
1,29,0,44.1596430863457,43.6006602624679,13.6096709655121,13.5565773206531,57.7693140518577,57.157237583121,7.64120049659506,0
1,30,0,42.8443525586736,42.3197278334653,13.7935189752988,13.7391424221767,56.6378715339723,56.058870255642,7.5645788381421,0
1,31,0,42.7959416105834,42.2884798523551,14.378983818361,14.32169703024,57.1749254289444,56.6101768825952,7.59903335700535,0
1,32,0,44.0556796096059,43.5473448448797,15.3545285946092,15.2927811605827,59.4102082042152,58.8401260054624,7.74505091898881,0
1,33,0,42.8955690399138,42.4153947596162,15.5772549305367,15.5139327560223,58.4728239704504,57.9293275156385,7.68253991475975,0
1,34,0,42.4881075680751,42.0262803119003,16.063999097483,15.9979826628358,58.5521066655581,58.0242629747361,7.68666066135852,0
1,35,0,43.6420676895046,43.1810599322211,17.1666882584195,17.0953585288138,60.808755947924,60.2764184610349,7.83235563728713,0
1,36,0,42.7977169955484,42.3565034182747,17.418373914065,17.3452898277123,60.2160909096134,59.701793245987,7.79325470909803,0
1,37,0,42.4267287615449,42.0010425197902,17.9428481164137,17.8667115614643,60.3695768779586,59.8677540812545,7.80228210512235,0
1,38,0,43.1760350275781,42.7541193758428,18.9628676827171,18.881481984508,62.1389027102951,61.6356013603508,7.91494244431478,0
1,39,0,43.12268927383,42.7119969950316,19.657957886616,19.57261219391,62.780647160446,62.2846091889416,7.95491267111001,0
1,40,0,44.6925009254927,44.2761111653173,21.0394548662137,20.947176555397,65.7319557917064,65.2232877207143,8.13907801288721,0
1,41,0,47.0209142710945,46.5934514140845,22.9539994233737,22.8521325620274,69.9749136944682,69.4455839761119,8.39692075000765,0
1,42,0,45.2601745211419,44.8584569958063,22.9011090949504,22.7982598026078,68.1612836160923,67.6567167984141,8.28671306167243,0
1,43,0,46.2531380108396,45.8520992419595,24.2478601243454,24.1376425783256,70.500998135185,69.9897418202851,8.42709849476723,0
1,44,0,46.008291539193,45.6183907634371,24.97996495737,24.8650264683024,70.988256496563,70.4834172317395,8.45557281829173,0
1,45,0,46.5574280583809,46.1715930192231,26.1704797471023,26.0485675743674,72.7279078054832,72.2201605935904,8.55799186479294,0
1,46,0,47.3889849048064,47.0047498920647,27.569063545249,27.4390207926771,74.9580484500554,74.4437706847418,8.68768547921143,0
1,47,0,45.5612296074753,45.1996325470985,27.4237974388944,27.2927920371162,72.9850270463697,72.4924245842148,8.57210457553738,0
