depth,sanity_residual,cpu_winner_feat,cpu_winner_bin,cpu_winner_gain,mlx_winner_feat,mlx_winner_bin,mlx_winner_gain,picked_feat,picked_bin,picked_gain_under_cpu,picked_gain_under_mlx,cpu_winner_rank_in_mlx,mlx_winner_rank_in_cpu,gain_delta_cpu_argmax_minus_mlx_argmax,cpu_winner_gain_in_mlx_formula,mlx_winner_gain_in_cpu_formula,cpu_ref_feat,cpu_ref_border,argmax_agree
0,9.414691248821327e-14,0,69,12.824480798172166,0,69,12.824480798172166,0,69,12.824480798172166,12.824480798172166,1,1,0.0,12.824480798172166,12.824480798172166,0,0.10254748165607452,True
1,1.0125233984581428e-13,1,82,15.031663627093648,1,82,15.031663627093648,1,64,14.975519567381722,14.975519567381722,1,1,0.0,15.031663627093648,15.031663627093648,1,0.43849730491638184,True
2,1.1723955140041653e-13,0,25,16.14778916797139,9,116,15.054584680788693,0,29,16.09758464913467,12.080199182737557,2279,241,1.093204487182696,12.147181741169483,15.054584680788693,0,-0.8107502460479736,False
3,1.1013412404281553e-13,0,102,16.942569865990844,14,105,16.172700883928382,15,28,16.095943246073798,16.095943246073798,2336,219,0.7698689820624622,11.87948270891758,16.172700883928382,0,1.0352909564971924,False
4,6.750155989720952e-14,0,102,16.950628674317418,7,82,16.18219608421628,1,23,16.444564194453903,12.227334894103336,2288,201,0.7684325901011384,11.894111651242863,16.18219608421628,1,-0.8001531362533569,False
5,6.750155989720952e-14,0,102,17.310121672203337,7,84,16.524155386182954,0,98,17.219778419673943,12.051601139445111,2224,142,0.7859662860203827,12.179575158334252,16.524155386182954,0,1.7465853691101074,False
