featIdx,bin,cosNum_f32,cosNum_f64,cosNum_abs_residual,cosDen_f32,cosDen_f64,cosDen_abs_residual,gain_f32,gain_f64,gain_abs_residual
0,0,167.2665863,167.266587089336,7.856251e-07,163.2570343,163.257026247676,8.054082e-06,13.09101295,13.091013022916,6.820412e-08
0,1,171.8402405,171.840249541487,9.062972e-06,167.5792847,167.579284504834,1.631349e-07,13.27439404,13.2743947609314,7.255921e-07
0,2,175.730484,175.730482102859,1.905931e-06,171.5249329,171.524932052274,8.090541e-07,13.41786671,13.4178666830743,2.377384e-08
0,3,179.9369812,179.936984090732,2.889560e-06,175.7463379,175.746334409528,3.481097e-06,13.57304573,13.5730453214096,4.091813e-07
0,4,184.1421661,184.142169362392,3.224697e-06,179.924469,179.924468063622,9.305186e-07,13.72802734,13.7280275331252,1.893752e-07
0,5,186.1864319,186.186433527262,1.642496e-06,182.1970062,182.1970111237,4.898114e-06,13.79359245,13.7935930462742,5.932712e-07
0,6,187.8838196,187.88381854204,1.038038e-06,184.0951233,184.095119695076,3.595939e-06,13.84739971,13.8474000898831,3.782742e-07
0,7,189.2125244,189.212522337695,2.076368e-06,185.6075745,185.607563520099,1.094279e-05,13.88839436,13.8883943776301,2.185618e-08
0,8,191.2535706,191.25356268374,7.872901e-06,187.7324524,187.732447229821,5.162758e-06,13.95853615,13.9585357500538,3.980175e-07
0,9,190.8371124,190.837105048695,7.378063e-06,187.5395813,187.539583577144,2.278315e-06,13.93530083,13.9353007527069,7.431944e-08
0,10,193.3090363,193.309034276686,1.978197e-06,190.066925,190.066926099045,1.050217e-06,14.02164268,14.0216420373623,6.475742e-07
0,11,194.7444,194.744402469848,2.445434e-06,191.5973511,191.597337937561,1.313666e-05,14.06922722,14.0692273711983,1.525704e-07
0,12,194.94841,194.948400601232,9.432948e-06,191.932785,191.932772772938,1.226124e-05,14.07165241,14.0716526982916,2.858770e-07
0,13,196.4155731,196.415565757091,7.363026e-06,193.4719391,193.471924981814,1.410510e-05,14.12104797,14.1210478896182,8.401466e-08
0,14,197.8437958,197.843783971009,1.180536e-05,194.9675903,194.967560530895,2.980114e-05,14.16906643,14.169066249184,1.799541e-07
0,15,197.8117218,197.811715949369,5.852389e-06,195.0411682,195.041170317986,2.105095e-06,14.16409588,14.1640960523372,1.737361e-07
0,16,198.382782,198.382780171532,1.810890e-06,195.6795502,195.679561070235,1.089934e-05,14.18179607,14.1817961819251,1.080115e-07
0,17,199.1770477,199.177053831092,6.101600e-06,196.5413055,196.541296253689,9.288303e-06,14.20732689,14.2073276438232,7.547851e-07
0,18,197.6621552,197.662150743832,4.407535e-06,195.1454163,195.145413732438,2.527328e-06,14.14960575,14.1496058398781,8.884049e-08
0,19,198.1227112,198.122717927388,6.745748e-06,195.6685638,195.66856655805,2.715276e-06,14.16360283,14.1636030097933,1.808138e-07
0,20,198.0438385,198.043842985512,4.484535e-06,195.6515045,195.651502384848,2.131754e-06,14.15858173,14.1585817113096,2.239398e-08
0,21,198.7209473,198.720947870052,6.044268e-07,196.3786926,196.378693667012,1.040059e-06,14.18066025,14.1806607279754,4.801726e-07
0,22,199.4380035,199.437995228169,8.311870e-06,197.1423645,197.142348795472,1.570648e-05,14.20423794,14.204237873819,6.410829e-08
0,23,199.2861786,199.286170207921,8.380947e-06,197.050705,197.050692153031,1.280302e-05,14.19672585,14.1967252934412,5.518957e-07
0,24,198.5513153,198.551311817678,3.489939e-06,196.3759003,196.375893388732,6.879823e-06,14.1686573,14.1686565756411,7.272153e-07
0,25,200.1457367,200.145738461378,1.767042e-06,197.9943237,197.994322590156,1.140313e-06,14.2239418,14.2239422004364,3.974579e-07
0,26,199.8712158,199.871210287012,5.533300e-06,197.7730408,197.773036476088,4.295397e-06,14.21237659,14.2123764241018,1.704417e-07
0,27,199.1003113,199.100304690503,6.588794e-06,197.0597839,197.059767983795,1.595175e-05,14.18315792,14.1831580043656,8.352820e-08
0,28,199.8878937,199.887889727098,3.949660e-06,197.879425,197.879423761845,1.286983e-06,14.20974159,14.2097410785176,5.138896e-07
0,29,200.39711,200.397108249626,1.735726e-06,198.4234467,198.423461940071,1.528480e-05,14.22639847,14.2263974956484,9.723691e-07
0,30,201.2345734,201.234583019204,9.654946e-06,199.2902222,199.29023206425,9.896281e-06,14.25475025,14.2547502187236,3.304638e-08
0,31,201.9385376,201.938531938885,5.658771e-06,200.0243073,200.024280822784,2.642819e-05,14.2783432,14.2783438331479,6.324643e-07
0,32,200.97052,200.970528268448,8.248916e-06,199.1005554,199.100544788078,1.063184e-05,14.2428236,14.2428253842543,1.783485e-06
0,33,199.7657318,199.76572947931,2.332213e-06,197.9449158,197.944921682321,5.910836e-06,14.19870758,14.1987071975587,3.830077e-07
0,34,198.4659576,198.46594946431,8.177291e-06,196.6927643,196.692759928058,4.354169e-06,14.15115261,14.1511527566854,1.459066e-07
0,35,198.146698,198.146702457445,4.459398e-06,196.408432,196.408429007497,2.999339e-06,14.13861275,14.1386123841165,3.630759e-07
0,36,198.2499237,198.249931025429,7.319374e-06,196.5371552,196.537139569573,1.558179e-05,14.14134407,14.1413453815348,1.311100e-06
0,37,195.903717,195.903727306407,1.026539e-05,194.2429199,194.242922906846,2.984971e-06,14.05626965,14.0562701958212,5.501303e-07
0,38,195.1519928,195.15199469147,1.893619e-06,193.525528,193.525534022841,6.068739e-06,14.02826118,14.0282616436019,4.589095e-07
0,39,193.5153809,193.515376216566,4.642809e-06,191.9296722,191.92966080102,1.144019e-05,13.96832848,13.9683282017351,2.742170e-07
0,40,192.9373627,192.937360374582,2.296316e-06,191.3783112,191.378305786617,5.370609e-06,13.94665241,13.9466524918785,7.946394e-08
0,41,192.6550751,192.655065449787,9.623455e-06,191.1221771,191.1221847068,7.582776e-06,13.93557549,13.935574639912,8.453175e-07
0,42,192.0358276,192.035837659046,1.002233e-05,190.5308838,190.530883209345,5.797176e-07,13.91232014,13.9123211347687,9.977448e-07
0,43,192.2236481,192.223650710907,2.639618e-06,190.7392426,190.739243809324,1.255614e-06,13.91831875,13.9183192176254,4.691513e-07
0,44,190.4677124,190.467715120198,2.717854e-06,189.0178986,189.017884436737,1.412283e-05,13.85383129,13.8538321951777,9.039790e-07
0,45,189.5320282,189.532013888227,1.431002e-05,188.1092529,188.109236054293,1.687539e-05,13.81902885,13.8190286563628,1.980073e-07
0,46,187.8775024,187.877508034096,5.592690e-06,186.4857483,186.485731350301,1.694071e-05,13.75789452,13.7578948897923,3.738011e-07
0,47,187.4311676,187.431165685049,1.917490e-06,186.0608978,186.060908650313,1.082316e-05,13.74087048,13.7408702076037,2.681653e-07
0,48,186.5062256,186.506233212846,7.626909e-06,185.1576996,185.157702851368,3.266407e-06,13.7063694,13.7063702385504,8.385260e-07
0,49,186.4698334,186.469824115898,9.258126e-06,185.1385956,185.138598187231,2.606177e-06,13.70440197,13.7044015604464,4.094632e-07
0,50,185.2647858,185.264788526442,2.759840e-06,183.9577179,183.957707227765,1.066774e-05,13.65947056,13.6594713322579,7.740914e-07
0,51,183.6920166,183.692019994194,3.392631e-06,182.4104309,182.410425647772,5.260432e-06,13.60083103,13.600831543432,5.116326e-07
0,52,182.3839417,182.383935957353,5.693037e-06,181.1233826,181.12337537661,7.191749e-06,13.55187321,13.5518732887855,8.169322e-08
0,53,181.9087524,181.908758709608,6.268202e-06,180.6654205,180.665422183324,1.651097e-06,13.53368473,13.5336858193858,1.088856e-06
0,54,179.3280334,179.328033632836,1.855701e-07,178.1130981,178.113102230954,4.086423e-06,13.43693638,13.4369361177095,2.607695e-07
0,55,178.5184937,178.518492836581,8.157629e-07,177.3213348,177.321337734299,2.895432e-06,13.4061079,13.4061079486034,4.607654e-08
0,56,176.98349,176.983493325204,3.334969e-06,175.8054504,175.805442222607,8.216846e-06,13.34801197,13.3480125264554,5.559354e-07
0,57,175.0974274,175.097421689087,5.679077e-06,173.940506,173.940504356208,1.625237e-06,13.276371,13.2763712639712,2.617739e-07
0,58,173.5332794,173.53327658818,2.830765e-06,172.3948059,172.394803185877,2.722326e-06,13.21662903,13.2166284779573,5.503630e-07
0,59,172.4130859,172.41309092854,4.991040e-06,171.290802,171.290794544407,7.457546e-06,13.1735611,13.1735621831255,1.086934e-06
0,60,172.102951,172.102945219673,5.830131e-06,170.9944916,170.994480748698,1.082845e-05,13.16125298,13.1612535597709,5.843070e-07
0,61,171.3140411,171.314043563343,2.425648e-06,170.2201385,170.220115440635,2.310917e-05,13.13068771,13.1306893143538,1.600731e-06
0,62,169.768158,169.76815369769,4.261294e-06,168.6898346,168.68982055493,1.403980e-05,13.07108974,13.0710894717834,2.727845e-07
0,63,168.8763733,168.876383301844,1.001083e-05,167.8118896,167.811890333113,6.846751e-07,13.03639603,13.0363963097056,2.830943e-07
0,64,168.9579773,168.957974397159,2.897762e-06,167.9031677,167.903153412925,1.431168e-05,13.03914928,13.0391495927508,3.083880e-07
0,65,168.1110077,168.111013678821,5.988392e-06,167.0682831,167.068282707091,3.739632e-07,13.00616169,13.0061621047647,4.150064e-07
0,66,166.6904602,166.69045531042,4.894658e-06,165.6629333,165.662923156246,1.019336e-05,12.95084381,12.9508440181177,2.070825e-07
0,67,165.8389282,165.838927635853,5.868035e-07,164.8216248,164.82161684793,7.907930e-06,12.9175272,12.9175275289833,3.301918e-07
0,68,164.3359375,164.335941604427,4.104427e-06,163.331192,163.331176616214,1.540039e-05,12.8587265,12.858728071199,1.569734e-06
0,69,163.4698029,163.469803146177,2.897319e-07,162.4783936,162.47838855555,4.999137e-06,12.8244791,12.8244792165028,1.134144e-07
0,70,164.4512634,164.451255982234,7.445500e-06,163.4299164,163.429914623818,1.758018e-06,12.86386395,12.8638633437489,6.012584e-07
0,71,165.4573975,165.457403079967,5.619030e-06,164.4133606,164.413363171103,2.575400e-06,12.90380096,12.9038007090097,2.553458e-07
0,72,166.6172638,166.617269486,5.692055e-06,165.5588074,165.558818543106,1.117006e-05,12.94922733,12.9492272865761,4.649274e-08
0,73,166.8125,166.812506468971,6.468971e-06,165.7203217,165.72031477939,6.875884e-06,12.95808125,12.9580822781256,1.032703e-06
0,74,168.4694672,168.469483590467,1.642738e-05,167.364975,167.364986332904,1.135732e-05,13.02233696,13.0223373398596,3.800207e-07
0,75,169.0357819,169.035787237045,5.376693e-06,167.905838,167.905849987421,1.197473e-05,13.04504967,13.0450499615449,2.941865e-07
