N,seed,mlx_rmse,cpu_rmse,ratio,drift_pct,wall_secs
500,42,0.208301,0.20830068937125323,1.0000014912516502,0.0001491251650151002,0.9661802910013648
500,43,0.207126,0.20694834391879866,1.0008584561627178,0.08584561627178677,0.7067309589983779
500,44,0.210717,0.2107168414567136,1.000000752399691,7.523996909415073e-05,0.5853724160006095
500,45,0.221988,0.2221599933080505,0.9992258133181882,0.07741866818118884,0.690445667001768
500,46,0.209327,0.20928458191760388,1.0002026813538172,0.020268135381723507,0.6824247080003261
1000,42,0.204238,0.2042378914232756,1.000000531618906,5.316189059360676e-05,0.7072200830007205
1000,43,0.200342,0.20042509662492355,0.999585398104714,0.04146018952859455,0.688419291000173
1000,44,0.204007,0.20400726386281162,0.9999987066008993,0.0001293399100756949,0.7083637080031622
1000,45,0.205136,0.2051356525540772,1.0000016937373806,0.00016937373805303658,0.7029609999990498
1000,46,0.203379,0.2034883959419489,0.999462397148287,0.0537602851712982,0.7193667499996081
2000,42,0.197666,0.19757877348968003,1.0004414771322818,0.04414771322817861,0.7798186250001891
2000,43,0.198278,0.19827313957590628,1.00002451377985,0.0024513779849978257,0.8019502080023813
2000,44,0.201046,0.20089256311029377,1.0007637758577554,0.07637758577553337,0.7825257500007865
2000,45,0.201198,0.2010508496686005,1.0007319060408948,0.07319060408947749,1.0381492909982626
2000,46,0.198667,0.19866686139268852,1.0000006976871256,6.976871256627946e-05,0.9326658330028295
5000,42,0.197243,0.19724270366999896,1.0000015023622955,0.00015023622954034248,1.1059547500008193
5000,43,0.195735,0.19578613669895337,0.9997388134838576,0.02611865161423758,0.9071777089993702
5000,44,0.194455,0.19445515085213727,0.9999992242317233,7.757682767499837e-05,0.8985320000028878
5000,45,0.196788,0.19678836760562798,0.9999981319748089,0.00018680251910520136,0.9160464160013362
5000,46,0.194453,0.1944534742235863,0.9999975612490947,0.00024387509053768017,0.8897375829983503
10000,42,0.194651,0.19466392350571787,0.9999336111926383,0.006638880736164065,1.0284206670003186
10000,43,0.194543,0.1945632769178282,0.9998957823996931,0.010421760030686357,1.0556210830000055
10000,44,0.194354,0.19435370639962474,1.000001510649736,0.00015106497359928582,1.1017371659982018
10000,45,0.194087,0.19408744307801457,0.9999977171216874,0.00022828783126263347,0.9243387909991725
10000,46,0.195058,0.19498251668237523,1.0003871286457326,0.03871286457325635,1.054710458000045
20000,42,0.194642,0.1945973735834987,1.000229326920911,0.022932692091113566,1.27907708299972
20000,43,0.19359,0.19346275741041288,1.0006577110307449,0.06577110307447737,1.2172305419990153
20000,44,0.193976,0.19397562163529436,1.0000019505786473,0.00019505786472553692,1.2259100000010221
20000,45,0.192946,0.19293589973849903,1.0000523503480414,0.005235034804130449,2.533362207999744
20000,46,0.193894,0.19379933421865017,1.000488473202096,0.04884732020959111,1.33044370800053
50000,42,0.193679,0.1936264502915649,1.0002713973651636,0.027139736516354696,1.3089878339997085
50000,43,0.193572,0.19357117632361942,1.0000042551602786,0.0004255160278597034,1.3573329589999048
50000,44,0.193288,0.19320460496205977,1.0004316410468403,0.04316410468404569,1.3807948339999712
50000,45,0.192508,0.19250457524534795,1.0000177905104213,0.0017790510421376048,1.324956166998163
50000,46,0.192986,0.1930570363990898,0.9996320444962028,0.03679555037971577,1.339730875002715
