featIdx,bin,cosNum_f32,cosNum_f64,cosNum_abs_residual,cosDen_f32,cosDen_f64,cosDen_abs_residual,gain_f32,gain_f64,gain_abs_residual
0,0,210.1807861,210.180793750806,7.617994e-06,204.3487854,204.348797010306,1.160991e-05,14.70303535,14.7030347994125,5.552017e-07
0,1,214.0701141,214.070128183823,1.404808e-05,207.4897766,207.489799756508,2.314518e-05,14.86133003,14.8613305275515,4.952028e-07
0,2,217.8540955,217.854093173451,2.285533e-06,210.994278,210.994288664588,1.071049e-05,14.99789715,14.9978972621957,1.140634e-07
0,3,221.301239,221.301242440961,3.427289e-06,214.4400787,214.440085807027,7.071675e-06,15.11231041,15.1123104274496,1.790365e-08
0,4,224.1230927,224.123108424528,1.577316e-05,217.3529205,217.352944543203,2.401098e-05,15.20210934,15.202110085899,7.490460e-07
0,5,225.5973816,225.597399219324,1.762753e-05,219.0628662,219.062881199649,1.498871e-05,15.24227047,15.2422714219869,9.523214e-07
0,6,228.0068054,228.006804137028,1.282893e-06,221.4774933,221.477509739717,1.645358e-05,15.32085514,15.3208546166364,5.240496e-07
0,7,229.4770966,229.477108941589,1.238397e-05,223.1011353,223.101136998928,1.745022e-06,15.36343956,15.3634403299923,7.700558e-07
0,8,231.0407104,231.040719476311,9.027092e-06,224.7749939,224.774993761532,1.349525e-07,15.41042233,15.4104219837581,3.413762e-07
0,9,232.19487,232.194882714543,1.271943e-05,226.0554962,226.055502038047,5.822227e-06,15.44347668,15.4434776259172,9.489763e-07
0,10,233.9690857,233.969100792151,1.509879e-05,227.9278717,227.927889943332,1.823923e-05,15.49743271,15.4974331249006,4.161604e-07
0,11,235.4420776,235.442081602631,3.965912e-06,229.5001373,229.500152552235,1.522313e-05,15.54148865,15.5414880754765,5.719845e-07
0,12,236.3542633,236.35428425031,2.094465e-05,230.5151825,230.515189867239,7.372122e-06,15.56731319,15.5673146867889,1.492514e-06
0,13,237.826355,237.826357297121,2.316652e-06,232.0715637,232.071567206624,3.485921e-06,15.61165714,15.6116575571233,4.144842e-07
0,14,239.8926849,239.892691134229,6.197706e-06,234.1779327,234.177937001971,4.262713e-06,15.67631626,15.6763166941213,4.328298e-07
0,15,240.4839172,240.483930594865,1.335854e-05,234.8663635,234.866392885863,2.936047e-05,15.69190311,15.6919032832315,1.689127e-07
0,16,241.1999207,241.199945667157,2.501286e-05,235.6620026,235.662013337419,1.077394e-05,15.71203232,15.7120341289597,1.810844e-06
0,17,241.3466339,241.346643790738,9.879606e-06,235.9302826,235.930306365196,2.377242e-05,15.71264839,15.7126486002428,2.085192e-07
0,18,241.1103058,241.110324712874,1.892674e-05,235.7979584,235.797955923056,2.450967e-06,15.70166683,15.7016679873771,1.155407e-06
0,19,241.5546417,241.554659194726,1.747109e-05,236.3316193,236.331624349701,5.087006e-06,15.7128315,15.7128331452765,1.648084e-06
0,20,242.2030334,242.203051376125,1.792886e-05,237.0326691,237.03268561198,1.654460e-05,15.73169327,15.7316940509726,7.831503e-07
0,21,243.4258728,243.425886151074,1.334834e-05,238.2979126,238.297909186297,3.411359e-06,15.7690897,15.769090430476,7.316845e-07
0,22,242.8903809,242.890399803716,1.894434e-05,237.8780212,237.878033357591,1.211736e-05,15.74828053,15.7482818946217,1.369414e-06
0,23,243.307724,243.307721903696,2.095327e-06,238.3587646,238.358785607833,2.095940e-05,15.75942326,15.7594229189635,3.369569e-07
