featIdx,bin,partition,sumLeft,sumRight,weightLeft,weightRight,mlx_skipped,mlx_termNum,mlx_termDen,cpu_termNum,cpu_termDen,term_num_diff,term_den_diff
0,0,0,9.922511101,-9.776891708,7,993,0,9.94159415195563,6.98761828483358,9.94159415195563,6.98761828483358,0.000000e+00,-8.881784e-16
0,1,0,18.64813995,-18.50252151,15,985,0,19.6661193032027,16.4451308428647,19.6661193032027,16.4451308428647,3.552714e-15,3.552714e-15
0,2,0,26.76758575,-26.62196732,23,977,0,28.2810255853283,25.0990618159447,28.2810255853283,25.0990618159447,0.000000e+00,3.552714e-15
0,3,0,35.01955795,-34.87393951,31,969,0,37.3209153734938,34.1344339129562,37.3209153734938,34.1344339129562,0.000000e+00,7.105427e-15
0,4,0,42.49759674,-42.3519783,38,962,0,45.9086420053357,42.6797004108049,45.9086420053357,42.6797004108049,0.000000e+00,0.000000e+00
0,5,0,49.11527634,-48.9696579,46,954,0,51.7365996219251,48.7146124518537,51.7365996219251,48.7146124518537,-7.105427e-15,0.000000e+00
0,6,0,55.37582779,-55.23020935,54,946,0,57.0122407575822,54.1706093520102,57.0122407575822,54.1706093520102,0.000000e+00,0.000000e+00
0,7,0,61.2787056,-61.13308716,62,938,0,61.7420352533809,59.0630446528851,61.7420352533809,59.0630446528851,0.000000e+00,-7.105427e-15
0,8,0,66.98590851,-66.84028625,69,931,0,67.1043223460489,64.49225005506,67.1043223460489,64.49225005506,0.000000e+00,0.000000e+00
0,9,0,71.37290192,-71.22727966,77,923,0,69.154892197198,66.7492872408996,69.154892197198,66.7492872408996,1.421085e-14,0.000000e+00
0,10,0,77.84490967,-77.69928741,85,915,0,75.4381521055011,73.0691023508891,75.4381521055011,73.0691023508891,0.000000e+00,-1.421085e-14
0,11,0,83.4484787,-83.30285645,93,907,0,80.1636830244688,77.8717307362292,80.1636830244688,77.8717307362292,0.000000e+00,0.000000e+00
0,12,0,88.01909637,-87.87347412,101,899,0,83.0545545348765,80.8772208400512,83.0545545348765,80.8772208400512,0.000000e+00,1.421085e-14
0,13,0,93.47795105,-93.3323288,109,891,0,87.762756454401,85.6402647818788,87.762756454401,85.6402647818788,0.000000e+00,0.000000e+00
0,14,0,98.84455109,-98.69892883,117,883,0,92.4136074487456,90.3409109120306,92.4136074487456,90.3409109120306,0.000000e+00,0.000000e+00
0,15,0,102.9391785,-102.7935562,125,875,0,94.8197120973897,92.8383186417138,94.8197120973897,92.8383186417138,1.421085e-14,0.000000e+00
0,16,0,106.9410477,-106.7954254,132,868,0,97.8084292746633,95.8807949007813,97.8084292746633,95.8807949007813,0.000000e+00,0.000000e+00
0,17,0,111.5470428,-111.4014206,140,860,0,101.392577118388,99.517156849938,101.392577118388,99.5171568499381,-1.421085e-14,1.421085e-14
0,18,0,114.1177673,-113.9721451,148,852,0,101.436710818326,99.6699438517249,101.436710818326,99.6699438517249,0.000000e+00,0.000000e+00
0,19,0,118.2757797,-118.1301575,156,844,0,104.457621804541,102.739226728424,104.457621804541,102.739226728424,0.000000e+00,0.000000e+00
0,20,0,121.430069,-121.2844467,163,837,0,106.338683380166,104.670836202559,106.338683380166,104.670836202559,0.000000e+00,0.000000e+00
0,21,0,125.6579132,-125.512291,171,829,0,109.680912907043,108.048043376787,109.680912907043,108.048043376787,0.000000e+00,0.000000e+00
0,22,0,129.8599243,-129.7143097,179,821,0,113.076805336513,111.475146367544,113.076805336513,111.475146367544,0.000000e+00,0.000000e+00
