N,seed,mlx_rmse,cpu_rmse,ratio,drift_pct,wall_secs
500,42,0.249546,0.20830068937125323,1.19800851717411,19.800851717411003,0.6361911660000032
500,43,0.248349,0.20694834391879866,1.2000530919805086,20.00530919805085,0.6305694170000606
500,44,0.25396,0.2107168414567136,1.2052192802641721,20.521928026417207,0.6335262079999211
500,45,0.25931,0.2221599933080505,1.1672218572694892,16.72218572694891,0.6165330840000252
500,46,0.24374,0.20928458191760388,1.1646342877563785,16.463428775637833,0.6254938340000535
1000,42,0.232996,0.2042378914232756,1.140806920676263,14.080692067626305,0.6243026659999487
1000,43,0.229305,0.20042509662492355,1.144093249106036,14.409324910603605,0.5999809580000601
1000,44,0.231307,0.20400726386281162,1.1338174711050808,13.38174711050808,0.6517145420000361
1000,45,0.233553,0.2051356525540772,1.1385295393175572,13.85295393175573,0.5948213339999029
1000,46,0.231817,0.2034883959419489,1.1392148379120974,13.921483791209733,0.5801827079999384
2000,42,0.213565,0.19757877348968003,1.0809106475759906,8.091064757599058,0.6871546669999589
2000,43,0.215588,0.19827313957590628,1.0873283212296387,8.732832122963863,0.6168030409999119
2000,44,0.217418,0.20089256311029377,1.0822600729158574,8.226007291585729,0.602544208999916
2000,45,0.219071,0.2010508496686005,1.089629814353447,8.962981435344714,0.63075450000008
2000,46,0.216449,0.19866686139268852,1.089507321365303,8.9507321365303,0.6340461249999407
5000,42,0.207403,0.19724270366999896,1.0515116460125185,5.151164601251834,0.64569983399997
5000,43,0.205632,0.19578613669895337,1.0502888685943375,5.028886859433738,0.6625004999999646
5000,44,0.204697,0.19445515085213727,1.0526694669849634,5.266946698496339,0.659159499999987
5000,45,0.206553,0.19678836760562798,1.0496199674461486,4.961996744614869,0.7611786249999568
5000,46,0.204289,0.1944534742235863,1.0505803550987451,5.0580355098745216,0.7152739580000116
10000,42,0.200717,0.19466392350571787,1.031095009210088,3.1095009210087845,0.8077125830000114
10000,43,0.200317,0.1945632769178282,1.0295725029580058,2.957250295800585,0.8141622919999918
10000,44,0.200292,0.19435370639962474,1.030554053793886,3.0554053793886005,0.8194770409999137
10000,45,0.20008,0.19408744307801457,1.0308755519004735,3.087555190047354,0.97308924999993
10000,46,0.200932,0.19498251668237523,1.030512906586986,3.0512906586986053,0.936462540999969
20000,42,0.198416,0.1945973735834987,1.0196232166250836,1.9623216625083504,0.8347562090000338
20000,43,0.197592,0.19346275741041288,1.021343862999054,2.134386299905418,0.8266893750000008
20000,44,0.197445,0.19397562163529436,1.017885641172109,1.7885641172108957,0.8615165829999114
20000,45,0.196784,0.19293589973849903,1.0199449675602963,1.9944967560296352,0.952509665999969
20000,46,0.197297,0.19379933421865017,1.0180478730510172,1.8047873051017083,0.8389058329998988
50000,42,0.196232,0.1936264502915649,1.013456579431744,1.3456579431744138,1.1483638340000653
50000,43,0.196011,0.19357117632361942,1.0126042715796777,1.2604271579677664,1.1487480830001005
50000,44,0.195479,0.19320460496205977,1.0117719504583593,1.17719504583593,1.1471084579999342
50000,45,0.194815,0.19250457524534795,1.0120019212619098,1.2001921261909718,1.111143666000089
50000,46,0.19534,0.1930570363990898,1.011825332261865,1.1825332261865038,1.1806679170000507
